"No.","Time","Source","Destination","Protocol","Length","Info", 1736885364.161848000, 45210
"25","17.890151","10.49.10.60","20.189.173.15","TLSv1.2","1494","Application Data", 1736885382.052001000, 42748
"26","17.890153","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=1560 Ack=1 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885382.052077000, 42748
"27","17.890229","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=3000 Ack=1 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885382.052081000, 42748
"28","17.890233","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=4440 Ack=1 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885382.052113000, 42748
"29","17.890265","10.49.10.60","20.189.173.15","TLSv1.2","846","Application Data", 1736885382.233283000, 443
"30","18.071435","20.189.173.15","10.49.10.60","TCP","60","[TCP ACKed unseen segment] 443  >  42748 [ACK] Seq=1 Ack=1560 Win=16385 Len=0", 1736885382.233320000, 443
"31","18.071472","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=1 Ack=4440 Win=16385 Len=0", 1736885382.233450000, 443
"32","18.071602","20.189.173.15","10.49.10.60","TLSv1.2","93","Application Data", 1736885382.233479000, 42748
"33","18.071631","10.49.10.60","20.189.173.15","TCP","54","42748  >  443 [ACK] Seq=6672 Ack=40 Win=501 Len=0", 1736885382.233776000, 443
"34","18.071928","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=40 Ack=6672 Win=16385 Len=0", 1736885382.414763000, 443
"35","18.252915","20.189.173.15","10.49.10.60","TLSv1.2","152","Application Data", 1736885382.414806000, 42748
"36","18.252958","10.49.10.60","20.189.173.15","TCP","54","42748  >  443 [ACK] Seq=6672 Ack=138 Win=501 Len=0", 1736885382.417456000, 42748
"37","18.255608","10.49.10.60","20.189.173.15","TLSv1.2","89","Application Data", 1736885382.644252000, 443
"38","18.482404","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=6707 Win=16384 Len=0", 1736885384.666489000, 42748
"39","20.504641","10.49.10.60","20.189.173.15","TLSv1.2","173","Application Data", 1736885384.666678000, 42748
"40","20.504830","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=6826 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666683000, 42748
"41","20.504835","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=8266 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666773000, 42748
"42","20.504925","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=9706 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666781000, 42748
"43","20.504933","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=11146 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666822000, 42748
"44","20.504974","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=12586 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666826000, 42748
"45","20.504978","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=14026 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666871000, 42748
"46","20.505023","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=15466 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666875000, 42748
"47","20.505027","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [PSH, ACK] Seq=16906 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.666924000, 42748
"48","20.505076","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=18346 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.848194000, 443
"49","20.686346","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=8266 Win=16385 Len=0", 1736885384.848263000, 42748
"50","20.686415","10.49.10.60","20.189.173.15","TCP","1494","42748  >  443 [ACK] Seq=19786 Ack=138 Win=501 Len=1440 [TCP segment of a reassembled PDU]", 1736885384.848275000, 42748
"51","20.686427","10.49.10.60","20.189.173.15","TLSv1.2","355","Application Data", 1736885384.848315000, 443
"52","20.686467","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=11146 Win=16385 Len=0", 1736885384.848334000, 443
"53","20.686486","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=15466 Win=16385 Len=0", 1736885384.849014000, 443
"54","20.687166","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=18346 Win=16385 Len=0", 1736885384.849047000, 443
"55","20.687199","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=19786 Win=16379 Len=0", 1736885385.030135000, 443
"56","20.868287","20.189.173.15","10.49.10.60","TCP","60","443  >  42748 [ACK] Seq=138 Ack=21527 Win=16385 Len=0", 1736885385.030169000, 443
"57","20.868321","20.189.173.15","10.49.10.60","TLSv1.2","89","Application Data", 1736885385.073862000, 42748
"58","20.912014","10.49.10.60","20.189.173.15","TCP","54","42748  >  443 [ACK] Seq=21527 Ack=173 Win=501 Len=0", 1736885385.255090000, 443
"59","21.093242","20.189.173.15","10.49.10.60","TLSv1.2","148","Application Data", 1736885385.255141000, 42748
"60","21.093293","10.49.10.60","20.189.173.15","TCP","54","42748  >  443 [ACK] Seq=21527 Ack=267 Win=501 Len=0", 1736885385.882791000, 43656
"61","21.720943","10.49.10.60","185.199.111.154","TLSv1.2","93","Application Data", 1736885385.882913000, 49392
"62","21.721065","10.49.10.60","185.199.109.154","TLSv1.2","93","Application Data", 1736885385.903702000, 443
"63","21.741854","185.199.109.154","10.49.10.60","TCP","60","443  >  49392 [ACK] Seq=1 Ack=40 Win=359 Len=0", 1736885385.903723000, 443
"64","21.741875","185.199.109.154","10.49.10.60","TLSv1.2","93","Application Data", 1736885385.903748000, 49392
"65","21.741900","10.49.10.60","185.199.109.154","TCP","54","49392  >  443 [ACK] Seq=40 Ack=40 Win=24576 Len=0", 1736885385.939132000, 443
"66","21.777284","185.199.111.154","10.49.10.60","TCP","60","443  >  43656 [ACK] Seq=1 Ack=40 Win=288 Len=0", 1736885385.939152000, 443
"67","21.777304","185.199.111.154","10.49.10.60","TLSv1.2","93","Application Data", 1736885385.939176000, 43656
"68","21.777328","10.49.10.60","185.199.111.154","TCP","54","43656  >  443 [ACK] Seq=40 Ack=40 Win=501 Len=0", 1736885386.610385000, 47140
"69","22.448537","10.49.10.60","20.201.28.151","TCP","74","47140  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1063159585 TSecr=0 WS=128", 1736885386.664097000, 443
"70","22.502249","20.201.28.151","10.49.10.60","TCP","66","443  >  47140 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024", 1736885386.664158000, 47140
"71","22.502310","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0", 1736885386.667088000, 47140
"72","22.505240","10.49.10.60","20.201.28.151","TLSv1.3","883","Client Hello", 1736885386.723645000, 443
"73","22.561797","20.201.28.151","10.49.10.60","TLSv1.3","2926","Server Hello, Change Cipher Spec, Application Data", 1736885386.723700000, 47140
"74","22.561852","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=830 Ack=2873 Win=63488 Len=0", 1736885386.723713000, 443
"75","22.561865","20.201.28.151","10.49.10.60","TLSv1.3","673","Application Data, Application Data, Application Data", 1736885386.723723000, 47140
"76","22.561875","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=830 Ack=3492 Win=62976 Len=0", 1736885386.741682000, 47140
"77","22.579834","10.49.10.60","20.201.28.151","TLSv1.3","118","Change Cipher Spec, Application Data", 1736885386.743223000, 47140
"78","22.581375","10.49.10.60","20.201.28.151","TLSv1.3","152","Application Data", 1736885386.743280000, 47140
"79","22.581432","10.49.10.60","20.201.28.151","TLSv1.3","929","Application Data", 1736885386.794864000, 443
"80","22.633016","20.201.28.151","10.49.10.60","TLSv1.3","133","Application Data", 1736885386.794923000, 443
"81","22.633075","20.201.28.151","10.49.10.60","TLSv1.3","133","Application Data", 1736885386.795590000, 47140
"82","22.633742","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1867 Ack=3650 Win=64128 Len=0", 1736885386.796877000, 443
"83","22.635029","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=3650 Ack=1867 Win=71680 Len=0", 1736885386.796921000, 443
"84","22.635073","20.201.28.151","10.49.10.60","TLSv1.3","118","Application Data", 1736885386.797104000, 47140
"85","22.635256","10.49.10.60","20.201.28.151","TLSv1.3","85","Application Data", 1736885386.887064000, 54024
"86","22.725216","10.49.10.60","185.199.109.133","TLSv1.2","93","Application Data", 1736885386.896699000, 443
"87","22.734851","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=3714 Ack=1898 Win=71680 Len=0", 1736885386.942827000, 443
"88","22.780979","185.199.109.133","10.49.10.60","TCP","60","443  >  54024 [ACK] Seq=1 Ack=40 Win=294 Len=0", 1736885386.942857000, 443
"89","22.781009","185.199.109.133","10.49.10.60","TLSv1.2","93","Application Data", 1736885386.942881000, 54024
"90","22.781033","10.49.10.60","185.199.109.133","TCP","54","54024  >  443 [ACK] Seq=40 Ack=40 Win=501 Len=0", 1736885387.208360000, 443
"91","23.046512","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.208410000, 443
"92","23.046562","20.201.28.151","10.49.10.60","TLSv1.3","2451","Application Data, Application Data", 1736885387.208499000, 443
"93","23.046651","20.201.28.151","10.49.10.60","TLSv1.3","2863","Application Data, Application Data, Application Data", 1736885387.208505000, 47140
"94","23.046657","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=7547 Win=62720 Len=0", 1736885387.208534000, 47140
"95","23.046686","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=10356 Win=60800 Len=0", 1736885387.208542000, 443
"96","23.046694","20.201.28.151","10.49.10.60","TLSv1.3","90","Application Data", 1736885387.208619000, 443
"97","23.046771","20.201.28.151","10.49.10.60","TLSv1.3","719","Application Data", 1736885387.208807000, 443
"98","23.046959","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.208842000, 443
"99","23.046994","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.208881000, 443
"100","23.047033","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.208987000, 47140
"101","23.047139","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=15365 Win=57344 Len=0", 1736885387.261737000, 443
"102","23.099889","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261763000, 443
"103","23.099915","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261774000, 47140
"104","23.099926","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=18237 Win=63360 Len=0", 1736885387.261792000, 443
"105","23.099944","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261818000, 443
"106","23.099970","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261841000, 47140
"107","23.099993","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=21109 Win=61184 Len=0", 1736885387.261892000, 443
"108","23.100044","20.201.28.151","10.49.10.60","TLSv1.3","2926","Application Data, Application Data", 1736885387.261904000, 47140
"109","23.100056","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=23981 Win=62464 Len=0", 1736885387.261921000, 443
"110","23.100073","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261975000, 443
"111","23.100127","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.261988000, 47140
"112","23.100140","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=26853 Win=64128 Len=0", 1736885387.261992000, 443
"113","23.100144","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262008000, 443
"114","23.100160","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262011000, 443
"115","23.100163","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data, Application Data, Application Data", 1736885387.262047000, 47140
"116","23.100199","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=31161 Win=61184 Len=0", 1736885387.262085000, 443
"117","23.100237","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data, Application Data, Application Data, Application Data", 1736885387.262091000, 443
"118","23.100243","20.201.28.151","10.49.10.60","TLSv1.3","2926","Application Data, Application Data", 1736885387.262096000, 47140
"119","23.100248","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=35469 Win=59136 Len=0", 1736885387.262112000, 443
"120","23.100264","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262128000, 443
"121","23.100280","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262133000, 47140
"122","23.100285","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=38341 Win=59136 Len=0", 1736885387.262154000, 443
"123","23.100306","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262178000, 443
"124","23.100330","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262185000, 47140
"125","23.100337","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=41213 Win=58240 Len=0", 1736885387.262197000, 443
"126","23.100349","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262228000, 443
"127","23.100380","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.262230000, 47140
"128","23.100382","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=44085 Win=62336 Len=0", 1736885387.314714000, 443
"129","23.152866","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314743000, 443
"130","23.152895","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314754000, 47140
"131","23.152906","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=46957 Win=63360 Len=0", 1736885387.314771000, 443
"132","23.152923","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314798000, 443
"133","23.152950","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314803000, 47140
"134","23.152955","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=49829 Win=63360 Len=0", 1736885387.314836000, 443
"135","23.152988","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data, Application Data, Application Data", 1736885387.314861000, 443
"136","23.153013","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314865000, 47140
"137","23.153017","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=52701 Win=63360 Len=0", 1736885387.314883000, 443
"138","23.153035","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314906000, 443
"139","23.153058","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.314911000, 47140
"140","23.153063","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=55573 Win=64128 Len=0", 1736885387.314913000, 443
"141","23.153065","20.201.28.151","10.49.10.60","TLSv1.3","129","Application Data", 1736885387.357818000, 47140
"142","23.195970","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=1898 Ack=55648 Win=64128 Len=0", 1736885387.570814000, 58986
"143","23.408966","10.49.10.60","140.82.113.21","TLSv1.2","160","Application Data", 1736885387.570839000, 58986
"144","23.408991","10.49.10.60","140.82.113.21","TLSv1.2","995","Application Data", 1736885387.590509000, 47140
"145","23.428661","10.49.10.60","20.201.28.151","TLSv1.3","339","Application Data", 1736885387.591351000, 47140
"146","23.429503","10.49.10.60","20.201.28.151","TLSv1.3","215","Application Data", 1736885387.591938000, 47140
"147","23.430090","10.49.10.60","20.201.28.151","TLSv1.3","215","Application Data", 1736885387.608858000, 47140
"148","23.447010","10.49.10.60","20.201.28.151","TLSv1.3","212","Application Data", 1736885387.610359000, 47140
"149","23.448511","10.49.10.60","20.201.28.151","TLSv1.3","193","Application Data", 1736885387.643360000, 443
"150","23.481512","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=55648 Ack=2183 Win=73728 Len=0", 1736885387.644018000, 443
"151","23.482170","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=55648 Ack=2344 Win=75776 Len=0", 1736885387.644849000, 443
"152","23.483001","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=55648 Ack=2505 Win=76800 Len=0", 1736885387.652999000, 58986
"153","23.491151","10.49.10.60","140.82.113.21","TLSv1.2","160","Application Data", 1736885387.653032000, 58986
"154","23.491184","10.49.10.60","140.82.113.21","TLSv1.2","1274","Application Data", 1736885387.661707000, 443
"155","23.499859","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=55648 Ack=2663 Win=78848 Len=0", 1736885387.663070000, 443
"156","23.501222","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=55648 Ack=2802 Win=80896 Len=0", 1736885387.692057000, 33754
"157","23.530209","10.49.10.60","20.201.28.148","TCP","74","33754  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3488346377 TSecr=0 WS=128", 1736885387.741516000, 443
"158","23.579668","140.82.113.21","10.49.10.60","TCP","60","443  >  58986 [ACK] Seq=1 Ack=1048 Win=86 Len=0", 1736885387.741557000, 443
"159","23.579709","140.82.113.21","10.49.10.60","TLSv1.2","102","Application Data", 1736885387.741585000, 58986
"160","23.579737","10.49.10.60","140.82.113.21","TCP","54","58986  >  443 [ACK] Seq=2374 Ack=49 Win=501 Len=0", 1736885387.745521000, 443
"161","23.583673","20.201.28.148","10.49.10.60","TCP","66","443  >  33754 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024", 1736885387.745587000, 33754
"162","23.583739","10.49.10.60","20.201.28.148","TCP","54","33754  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0", 1736885387.746748000, 443
"163","23.584900","140.82.113.21","10.49.10.60","TLSv1.2","533","Application Data", 1736885387.746775000, 58986
"164","23.584927","10.49.10.60","140.82.113.21","TCP","54","58986  >  443 [ACK] Seq=2374 Ack=528 Win=501 Len=0", 1736885387.749137000, 33754
"165","23.587289","10.49.10.60","20.201.28.148","TLSv1.3","887","Client Hello", 1736885387.784345000, 47140
"166","23.622497","10.49.10.60","20.201.28.151","TLSv1.3","92","Application Data", 1736885387.784382000, 47140
"167","23.622534","10.49.10.60","20.201.28.151","TLSv1.3","92","Application Data", 1736885387.784414000, 47140
"168","23.622566","10.49.10.60","20.201.28.151","TLSv1.3","92","Application Data", 1736885387.784435000, 47140
"169","23.622587","10.49.10.60","20.201.28.151","TLSv1.3","130","Application Data, Application Data", 1736885387.784459000, 58986
"170","23.622611","10.49.10.60","140.82.113.21","TLSv1.2","92","Application Data", 1736885387.784484000, 57190
"171","23.622636","10.49.10.60","142.251.133.170","TLSv1.2","89","Application Data", 1736885387.803586000, 443
"172","23.641738","20.201.28.148","10.49.10.60","TLSv1.3","2926","Server Hello, Change Cipher Spec, Application Data", 1736885387.803609000, 33754
"173","23.641761","10.49.10.60","20.201.28.148","TCP","54","33754  >  443 [ACK] Seq=834 Ack=2873 Win=63488 Len=0", 1736885387.803614000, 443
"174","23.641766","20.201.28.148","10.49.10.60","TLSv1.3","672","Application Data, Application Data, Application Data", 1736885387.803617000, 33754
"175","23.641769","10.49.10.60","20.201.28.148","TCP","54","33754  >  443 [ACK] Seq=834 Ack=3491 Win=62976 Len=0", 1736885387.807957000, 33754
"176","23.646109","10.49.10.60","20.201.28.148","TLSv1.3","118","Change Cipher Spec, Application Data", 1736885387.808277000, 33754
"177","23.646429","10.49.10.60","20.201.28.148","TLSv1.3","152","Application Data", 1736885387.808300000, 33754
"178","23.646452","10.49.10.60","20.201.28.148","TLSv1.3","472","Application Data", 1736885387.808321000, 33754
"179","23.646473","10.49.10.60","20.201.28.148","TLSv1.3","1054","Application Data", 1736885387.817494000, 443
"180","23.655646","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.817508000, 47140
"181","23.655660","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=57084 Win=64128 Len=0", 1736885387.817522000, 443
"182","23.655674","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.817527000, 47140
"183","23.655679","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=58520 Win=63360 Len=0", 1736885387.817534000, 443
"184","23.655686","20.201.28.151","10.49.10.60","TLSv1.3","1021","Application Data", 1736885387.817535000, 47140
"185","23.655687","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=59487 Win=62592 Len=0", 1736885387.823941000, 443
"186","23.662093","140.82.113.21","10.49.10.60","TCP","60","443  >  58986 [ACK] Seq=528 Ack=2374 Win=88 Len=0", 1736885387.823969000, 443
"187","23.662121","140.82.113.21","10.49.10.60","TLSv1.2","102","Application Data", 1736885387.824446000, 443
"188","23.662598","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.824458000, 47140
"189","23.662610","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=60923 Win=64128 Len=0", 1736885387.824478000, 443
"190","23.662630","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.824484000, 47140
"191","23.662636","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=62359 Win=63360 Len=0", 1736885387.824490000, 443
"192","23.662642","20.201.28.151","10.49.10.60","TLSv1.3","941","Application Data", 1736885387.824511000, 47140
"193","23.662663","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=63246 Win=62592 Len=0", 1736885387.826162000, 443
"194","23.664314","20.201.28.151","10.49.10.60","TLSv1.3","1490","Application Data", 1736885387.826182000, 47140
"195","23.664334","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=64682 Win=64128 Len=0", 1736885387.826205000, 443
"196","23.664357","20.201.28.151","10.49.10.60","TLSv1.3","2457","Application Data, Application Data", 1736885387.826214000, 47140
"197","23.664366","10.49.10.60","20.201.28.151","TCP","54","47140  >  443 [ACK] Seq=2992 Ack=67085 Win=62720 Len=0", 1736885387.828825000, 443
"198","23.666977","140.82.113.21","10.49.10.60","TLSv1.2","533","Application Data", 1736885387.828883000, 58986
"199","23.667035","10.49.10.60","140.82.113.21","TCP","54","58986  >  443 [ACK] Seq=2412 Ack=1055 Win=501 Len=0", 1736885387.837303000, 443
"200","23.675455","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=67085 Ack=2840 Win=80896 Len=0", 1736885387.837488000, 443
"201","23.675640","20.201.28.151","10.49.10.60","TCP","60","443  >  47140 [ACK] Seq=67085 Ack=2878 Win=80896 Len=0", 1736885387.837517000, 443
